X,Y
-5.615141666000000242e+01,-3.491994405999999884e+01
-5.615739844000000147e+01,-3.491506944999999718e+01
-5.615638804999999678e+01,-3.491011927000000270e+01
-5.615912173000000251e+01,-3.492587809999999848e+01
-5.616075693999999885e+01,-3.491888491000000272e+01
-5.615627345000000048e+01,-3.491295694000000083e+01
-5.614910714999999897e+01,-3.491837496000000129e+01
-5.615073078999999723e+01,-3.491581597999999786e+01
-5.615721502000000243e+01,-3.491166647000000012e+01
-5.616182407000000154e+01,-3.491003139000000033e+01
-5.616073786999999840e+01,-3.490923319000000191e+01
-5.616087189999999651e+01,-3.491166831999999687e+01
-5.616252277000000248e+01,-3.490871302000000043e+01
-5.616211536000000137e+01,-3.490764233000000161e+01
-5.616241793999999743e+01,-3.490834130999999729e+01
-5.615627585000000010e+01,-3.490956536000000199e+01
-5.616217271000000011e+01,-3.490751353000000279e+01
-5.615501007999999672e+01,-3.490605874999999969e+01
-5.615434673000000032e+01,-3.490854139000000345e+01
-5.615409209999999973e+01,-3.490795228000000350e+01
-5.616266047999999955e+01,-3.490556481000000133e+01
-5.615726253999999784e+01,-3.490729248000000240e+01
-5.615452771000000354e+01,-3.490708930000000265e+01
-5.615598174000000142e+01,-3.490352838999999818e+01
-5.616175716000000051e+01,-3.490531947000000201e+01
-5.616188565000000210e+01,-3.490602887000000010e+01
-5.616217154999999650e+01,-3.490410831999999886e+01
-5.615805868000000345e+01,-3.490734983000000113e+01
-5.616120576000000142e+01,-3.490546075000000315e+01
-5.614582456000000121e+01,-3.489107932999999662e+01
-5.614922357999999747e+01,-3.489414564999999868e+01
-5.615079512999999878e+01,-3.491798519000000312e+01
-5.614807133000000050e+01,-3.491024689999999708e+01
-5.615076759000000095e+01,-3.491799043000000324e+01
-5.615682881000000037e+01,-3.490307576000000012e+01
-5.616052685999999738e+01,-3.490180915999999911e+01
-5.616027628999999877e+01,-3.490690215000000052e+01
-5.615028801999999786e+01,-3.491476919000000123e+01
-5.613737358000000199e+01,-3.490804880999999682e+01
-5.613536891999999767e+01,-3.490956237000000328e+01
-5.613215703000000190e+01,-3.490105822999999674e+01
-5.613777440999999868e+01,-3.490997535999999712e+01
-5.616015914999999836e+01,-3.491440562999999742e+01
-5.613845458000000122e+01,-3.490597739999999760e+01
-5.613895286999999712e+01,-3.490509744999999953e+01
-5.613606795999999832e+01,-3.490759390000000195e+01
-5.613782578000000001e+01,-3.490605937000000125e+01
-5.613815026000000330e+01,-3.490376501000000076e+01
-5.613440561000000173e+01,-3.490515209000000141e+01
-5.613921825999999982e+01,-3.490398423999999977e+01
-5.614010658000000120e+01,-3.490827603999999695e+01
-5.613044564999999864e+01,-3.489268073000000214e+01
-5.614759482000000190e+01,-3.489208382000000341e+01
-5.614377206000000342e+01,-3.489046478000000207e+01
-5.614039263000000091e+01,-3.488847944999999839e+01
-5.614690386000000188e+01,-3.489162948999999969e+01
-5.613836177000000305e+01,-3.489146613999999857e+01
-5.615435210999999782e+01,-3.488699360999999755e+01
-5.615836952000000082e+01,-3.488902682999999882e+01
-5.615990476999999714e+01,-3.488600813000000045e+01
-5.614569327000000243e+01,-3.488823631000000347e+01
-5.613565589000000244e+01,-3.489113851999999838e+01
-5.615730672000000112e+01,-3.490028336999999681e+01
-5.614959265000000244e+01,-3.492036542999999682e+01
-5.615781036999999998e+01,-3.490109563000000037e+01
-5.615261126000000047e+01,-3.491413799000000040e+01
-5.615663729999999987e+01,-3.490201148999999958e+01
-5.615441454999999848e+01,-3.491597928000000195e+01
-5.615903117999999949e+01,-3.491587844000000018e+01
-5.615605588999999753e+01,-3.491549546000000248e+01
-5.615738125000000025e+01,-3.491442785000000271e+01
-5.615598588000000291e+01,-3.491629858999999669e+01
-5.615789525999999654e+01,-3.491883951999999880e+01
-5.616121951000000223e+01,-3.491171770999999779e+01
-5.615631683000000152e+01,-3.491708153999999809e+01
-5.615479672000000022e+01,-3.491653707999999767e+01
-5.613503074999999853e+01,-3.488904939999999755e+01
-5.614345326000000114e+01,-3.489348339000000010e+01
-5.615264668999999742e+01,-3.488296651000000281e+01
-5.615179040000000299e+01,-3.488823336000000097e+01
-5.615512841999999694e+01,-3.491732358000000147e+01
-5.612806118999999683e+01,-3.490166485999999679e+01
-5.615234439999999694e+01,-3.488430215000000345e+01
-5.615450754999999816e+01,-3.488884206000000177e+01
-5.615737499000000099e+01,-3.488929467999999900e+01
-5.615914341999999948e+01,-3.488830103000000094e+01
-5.613096494999999919e+01,-3.489992140999999748e+01
-5.613137092000000195e+01,-3.490117019000000198e+01
-5.615874172000000186e+01,-3.488783835000000266e+01
-5.615268018999999811e+01,-3.488917585000000088e+01
-5.615804348000000346e+01,-3.491867670999999973e+01
-5.615735535000000311e+01,-3.491549049999999710e+01
-5.613041014000000217e+01,-3.490305761999999845e+01
-5.613040438000000165e+01,-3.490303789000000023e+01
-5.613950885999999940e+01,-3.490295188000000337e+01
-5.613150521000000026e+01,-3.490409712000000297e+01
-5.615588394000000250e+01,-3.488602861999999760e+01
-5.615327682000000209e+01,-3.488612023000000306e+01
-5.612861636000000232e+01,-3.490157642999999865e+01
-5.612665788999999705e+01,-3.490261550999999685e+01
-5.615561621999999886e+01,-3.490938496999999785e+01
-5.615464979000000056e+01,-3.491049976000000044e+01
-5.615558768999999728e+01,-3.491097530999999776e+01
-5.613321017999999896e+01,-3.490091730999999697e+01
-5.613009380999999820e+01,-3.490180474000000288e+01
