GID;"COD_CIRCUITO";"MUNICIPIO";"VERTICES"
1926;"G_DU_RM_CL_103      ";"G ";"POLYGON ((573046.9756329347 6144547.792328316, 573046.9756329347 6144547.792328316, 572048.9305318213 6145278.246897002, 571688.0623357029 6145543.17467979, 571322.5775119374 6145806.257701252, 571214.3393040154 6145280.272603866, 571168.7324131937 6145014.648289903, 571872.31809056 6144520.5294068, 572310.7172740441 6144201.5723799765, 572824.096541191 6143821.271405472, 572943.1096484326 6143966.791977509, 573024.836459633 6144098.67478241, 573041.944846303 6144432.677976731, 573046.9756329347 6144547.792328316))"
28;"CH_DU_RM_CL_06      ";"CH";"POLYGON ((576926.28100085 6137936.027275555, 576613.605710975 6137412.63388018, 576710.1134880946 6137391.597868014, 576812.455851907 6137381.00147023, 577109.8350517097 6137370.145905744, 577119.204719446 6137340.99826412, 577176.343951499 6137169.01103196, 577217.362767538 6137045.54543184, 577252.07358357 6136941.06725575, 577302.242895617 6136790.0588396, 577621.8754222161 6136963.959406372, 577633.6543622344 6136951.274394045, 577693.919119981 6136956.71547976, 577693.4551346351 6136956.710827899, 577729.205392014 6136990.73992779, 577801.531280082 6137060.25906386, 577815.093072094 6137073.29455187, 577873.890832149 6137129.81048792, 577876.389840151 6137132.21243992, 577877.167184152 6137132.37256792, 577931.487472203 6137143.56267993, 577964.292624233 6137150.32056794, 578053.638096316 6137168.72597596, 578054.678544317 6137168.94027996, 578070.761680332 6137181.36191197, 578144.5820016803 6137231.765367119, 578278.471448046 6137328.165768502, 578469.5719329952 6137471.432229176, 578482.4175977845 6137480.194104481, 578478.918384713 6137493.80015226, 578362.915632605 6137464.27068023, 578359.996752602 6137463.60389623, 578328.719120573 6137456.45906423, 578304.14680055 6137450.84597622, 578244.402672494 6137437.19842421, 578103.380240363 6137404.98418418, 578094.526352355 6137402.96162418, 578044.237040308 6137400.23128817, 578013.327248279 6137398.55304817, 577938.88635221 6137394.51132017, 577929.607440201 6137394.00757617, 577883.402640158 6137391.49884016, 577860.878544137 6137390.27592816, 577776.457232058 6137385.69237616, 577667.342991957 6137379.76818415, 577587.300943882 6137375.42236015, 577584.392303879 6137375.26447215, 577584.099151879 6137377.50348015, 577564.504079861 6137527.15765629, 577558.974735856 6137569.38725633, 577549.733327847 6137639.9671284, 577549.384623847 6137642.6303604, 577548.425871846 6137645.3952244, 577537.715343836 6137676.28444043, 577502.913007804 6137776.65356052, 577467.747727771 6137878.06933662, 577466.307055769 6137877.89586462, 577460.611663764 6137877.20994462, 577388.828495697 6137868.56511261, 577303.505071618 6137858.2895606, 577036.126159369 6137826.08888857, 576965.8592257403 6137904.109352256, 576926.28100085 6137936.027275555))"
29;"CH_DU_RM_CL_12      ";"CH";"POLYGON ((576254.585486641 6138872.10127354, 576263.098158649 6138769.74792945, 576273.053358658 6138650.73576934, 576283.268494668 6138534.15548123, 576292.207822676 6138428.83116113, 576300.908494684 6138326.31800904, 576305.618830689 6138270.82044098, 576308.671246691 6138234.85720895, 576317.5925907 6138129.74447285, 576321.990670704 6138077.9251448, 576328.065038709 6138006.35708074, 576333.602894715 6137941.10876068, 576341.230830722 6137851.23612059, 576350.32167873 6137744.12658449, 576360.344078739 6137626.04207238, 576373.081262751 6137475.97122424, 576377.843086756 6137419.86767219, 576385.403086763 6137330.79448811, 576406.954830783 6137076.86914387, 576613.605710975 6137412.63388018, 576700.2923496919 6137558.96009285, 576774.6844126873 6137684.091357786, 576926.28100085 6137936.027275555, 576820.788815168 6138047.60389678, 576805.040143154 6138111.36178484, 576797.844751147 6138140.49157686, 576796.191375145 6138148.75448887, 576788.371663138 6138187.83215291, 576788.244367138 6138204.18344892, 576788.145423138 6138216.90933693, 576788.042991138 6138230.06056895, 576787.975983138 6138238.68392895, 576787.224783137 6138335.17832904, 576870.0537962933 6138590.818472749, 576970.1248027069 6138630.720203154, 577162.0331251327 6138682.02242796, 577155.21966348 6138692.47304938, 577028.321615362 6138763.38456944, 576828.7701188849 6138849.087784299, 576838.8399102053 6138868.452767607, 576746.9207894338 6138905.891735337, 576907.99124725 6139142.4360578, 576907.914127249 6139142.5050498, 576673.839119031 6139352.38040999, 576569.358542934 6139446.05922608, 576569.241966934 6139445.94847408, 576474.890158846 6139356.14812199, 576408.528174784 6139252.0134659, 576321.951950704 6139065.00552972, 576280.906126665 6138976.34556164, 576256.934030643 6138924.56511359, 576251.186446638 6138912.14997758, 576254.585486641 6138872.10127354))"
30;"CH_DU_RM_CL_13      ";"CH";"POLYGON ((576569.241966934 6139445.94847408, 576674.3555185859 6139352.38040999, 576907.914127249 6139142.5050498, 576746.9207894338 6138905.891735337, 576838.8399102055 6138868.452767607, 576828.5119191075 6138849.087784299, 577028.8380149169 6138763.38456944, 577155.21966348 6138692.47304938, 577162.0331251327 6138682.02242796, 577191.1677219366 6138689.6227575615, 577620.590437074 6138811.80660747, 577891.664766831 6138956.267654397, 577692.1561148042 6139297.015764843, 577449.5789283715 6139717.567336098, 577428.0809467275 6139754.38971079, 577366.6024864863 6139819.364576353, 577274.9224951459 6139890.16706649, 577201.147791523 6140018.03522661, 576920.3231348159 6139793.3596104, 576569.241966934 6139445.94847408))"
32;"CH_DU_RM_CL_02      ";"CH";"POLYGON ((576457.37377483 6136500.28392733, 576456.163598829 6136500.75592734, 576460.113582832 6136451.66469529, 576466.956046839 6136366.62287121, 576477.977038849 6136229.64875908, 576489.176366859 6136090.45922295, 576497.982350868 6135981.01307885, 576501.107150871 6135942.17666281, 576503.682318873 6135910.17224678, 576505.911950875 6135882.46223076, 576512.942734882 6135795.07842268, 576528.496782896 6135798.86946268, 576529.195150897 6135799.03963868, 576529.490894897 6135799.11176668, 576617.535363615 6135691.643572342, 576866.9651062539 6135890.75784415, 577096.0577921846 6135621.4203811195, 577147.668207473 6135729.65384662, 577197.442383519 6135833.44975071, 577211.852367532 6135863.49947874, 577248.733359567 6135940.40866281, 577295.17300761 6136037.2507749, 577300.549423615 6136048.46235891, 577326.612239639 6136102.81195896, 577327.17307164 6136119.34395898, 577328.252751641 6136151.16744701, 577328.636047641 6136162.46015102, 577328.709903641 6136164.63855102, 577327.36161564 6136254.23695111, 577326.90068764 6136284.86527113, 577325.384143638 6136385.64853523, 577325.354639638 6136387.61439123, 577325.616463638 6136387.91387923, 577353.238095664 6136419.49720726, 577441.5935275544 6136522.964882498, 577322.0728225163 6136699.5859837085, 577210.7093169319 6136741.435963514, 577164.076431488 6136715.24143154, 577134.15358346 6136697.69333552, 577130.229903457 6136695.39237552, 577038.922639371 6136628.52389545, 576980.774031317 6136585.93906341, 576931.161551271 6136549.60552738, 576879.115407223 6136511.48975135, 576815.919919164 6136465.2088873, 576813.921615162 6136463.7453993, 576812.00852716 6136462.3444713, 576722.584623077 6136396.85515924, 576721.412367076 6136397.31227924, 576701.369935057 6136405.12853525, 576686.965071044 6136410.74626325, 576575.98820694 6136454.02591129, 576457.37377483 6136500.28392733))"
33;"CH_DU_RM_CL_05      ";"CH";"POLYGON ((576409.795406786 6137081.48437588, 576406.954830783 6137076.86914387, 576415.171598791 6136980.67157578, 576418.317742793 6136943.83800775, 576424.319950799 6136873.56619968, 576455.901326828 6136503.82517534, 576456.163598829 6136500.75592734, 576457.37377483 6136500.28392733, 576575.98820694 6136454.02591129, 576686.965071044 6136410.74626325, 576701.369935057 6136405.12853525, 576721.412367076 6136397.31227924, 576722.584623077 6136396.85515924, 576812.00852716 6136462.3444713, 576813.921615162 6136463.7453993, 576815.919919164 6136465.2088873, 576879.115407223 6136511.48975135, 576931.161551271 6136549.60552738, 576980.774031317 6136585.93906341, 577038.922639371 6136628.52389545, 577130.229903457 6136695.39237552, 577134.15358346 6136697.69333552, 577164.076431488 6136715.24143154, 577210.7093169319 6136741.435963514, 577302.242895617 6136790.0588396, 577252.07358357 6136941.06725575, 577217.362767538 6137045.54543184, 577176.343951499 6137169.01103196, 577119.204719446 6137340.99826412, 577109.8350517097 6137370.145905744, 576812.455851907 6137381.00147023, 576710.1134880946 6137391.597868014, 576613.605710975 6137412.63388018, 576425.1108308 6137106.3686639, 576409.795406786 6137081.48437588))"
34;"CH_DU_RM_CL_08      ";"CH";"POLYGON ((577473.449455776 6137889.93186463, 577467.747727771 6137878.06933662, 577502.913007804 6137776.65356052, 577537.715343836 6137676.28444043, 577548.425871846 6137645.3952244, 577549.384623847 6137642.6303604, 577549.733327847 6137639.9671284, 577558.974735856 6137569.38725633, 577564.504079861 6137527.15765629, 577584.099151879 6137377.50348015, 577584.392303879 6137375.26447215, 577587.301295882 6137375.37416815, 577667.168975957 6137378.38645615, 577667.758415957 6137378.42271215, 577776.573328058 6137385.10149616, 577860.878544137 6137390.27592816, 577875.43233615 6137391.16927216, 577881.631376156 6137391.54972016, 577883.404304158 6137391.64476017, 578013.320848279 6137398.60876017, 578045.534384309 6137400.33560817, 578094.526352355 6137402.96162418, 578103.575312363 6137404.99986418, 578244.523376494 6137436.74677621, 578304.30299255 6137450.21135222, 578318.630928563 6137453.43855222, 578330.423248574 6137456.09468022, 578359.996752602 6137463.60389623, 578362.900240605 6137464.34114423, 578478.918384713 6137493.80015226, 578577.872304805 6137526.72706429, 578713.306448931 6137571.79266433, 578693.1434524696 6137615.561228035, 578564.600656792 6137808.88444055, 578497.66478473 6137909.53532065, 578471.790288706 6137986.36620072, 578438.960912675 6137978.64245671, 578289.527728536 6138208.43868093, 578193.792656447 6138382.98364109, 578193.533936447 6138383.45544909, 578102.034416361 6138333.86956104, 577997.982224265 6138277.48095299, 577957.407440227 6138255.49244097, 577894.249104168 6138221.26540094, 577893.999216168 6138221.12994494, 577865.188240141 6138201.92485692, 577743.029264027 6138307.95570502, 577706.173679993 6138339.94540105, 577688.902351977 6138354.93637706, 577684.537167973 6138357.48156106, 577594.094991889 6138410.21544911, 577579.293455875 6138404.12498511, 577576.086159872 6138402.80527311, 577576.813455872 6138390.6913531, 577581.014031876 6138320.73308103, 577585.10164788 6138252.65148097, 577591.934991886 6138138.84296886, 577591.976367887 6138138.15477686, 577557.348207854 6138065.16584879, 577532.367471831 6138012.51183274, 577489.764431791 6137923.87557666, 577473.449455776 6137889.93186463))"
35;"CH_DU_RM_CL_03      ";"CH";"POLYGON ((577077.361551407 6135582.23963848, 577167.566543491 6135528.64917443, 577235.128879554 6135488.51077439, 577312.194639626 6135442.72635835, 577397.858831706 6135391.8336223, 577418.964271725 6135379.29506229, 577475.893679778 6135345.47359026, 577524.857807824 6135316.38431023, 577559.126479856 6135296.02539821, 577568.400847865 6135290.51557421, 577689.530191977 6135395.36875831, 577698.786095986 6135403.38095031, 577774.461648057 6135665.02383056, 577773.050640055 6135671.28143056, 577741.737104026 6135810.15387869, 577735.60126402 6135920.5344228, 577756.57153604 6136023.41896689, 577420.869839727 6136135.41775099, 577328.709903641 6136164.63855102, 577328.636047641 6136162.46015102, 577328.252751641 6136151.16744701, 577327.17307164 6136119.34395898, 577326.612239639 6136102.81195896, 577300.549423615 6136048.46235891, 577295.17300761 6136037.2507749, 577248.733359567 6135940.40866281, 577211.852367532 6135863.49947874, 577197.442383519 6135833.44975071, 577147.668207473 6135729.65384662, 577096.0577921846 6135621.4203811195, 577077.361551407 6135582.23963848))"
36;"CH_DU_RM_CL_01      ";"CH";"POLYGON ((576513.258126882 6135790.87115867, 576513.379214882 6135789.25477467, 576521.88897489 6135675.69416657, 576529.360910897 6135575.98325447, 576540.497806907 6135427.36338234, 576546.724718913 6135344.26607026, 576554.53300692 6135240.06578216, 576563.004622928 6135127.01330206, 576580.782350945 6134889.77256584, 576592.591246956 6134732.18632569, 576599.097934962 6134645.35397361, 576609.993294972 6134499.95842147, 576617.131214979 6134495.20325347, 576628.756110989 6134487.45880546, 576654.7720997112 6134481.710011978, 577055.999215387 6134845.96155779, 577266.039247583 6135028.19006996, 577363.328431674 6135112.59707804, 577448.366031753 6135186.37467811, 577567.033583863 6135289.32939821, 577568.400847865 6135290.51557421, 577559.126479856 6135296.02539821, 577524.857807824 6135316.38431023, 577475.893679778 6135345.47359026, 577418.964271725 6135379.29506229, 577397.858831706 6135391.8336223, 577312.194639626 6135442.72635835, 577235.128879554 6135488.51077439, 577167.566543491 6135528.64917443, 577077.361551407 6135582.23963848, 577096.0577921846 6135621.4203811195, 576866.9651062539 6135890.75784415, 576617.535363615 6135691.643572342, 576591.413774955 6135722.80069461, 576563.510222929 6135757.18786264, 576529.490894897 6135799.11176668, 576529.195150897 6135799.03963868, 576528.496782896 6135798.86946268, 576512.942734882 6135795.07842268, 576513.258126882 6135790.87115867))"
37;"CH_DU_RM_CL_10      ";"CH";"POLYGON ((578438.960912675 6137978.64245671, 578471.790288706 6137986.36620072, 578497.66478473 6137909.53532065, 578564.600656792 6137808.88444055, 578692.9804258945 6137615.561228035, 578711.239402308 6137621.104131589, 578733.4110165245 6137582.792886439, 578800.408177012 6137607.72056837, 578860.405457068 6137632.90876039, 579150.971729338 6137754.8949365, 579210.849073394 6137759.84767251, 579548.927825709 6137709.69490446, 579974.1550775114 6137972.658331865, 579812.0147126896 6138162.033211091, 579511.3951147988 6138473.8649085425, 578663.501904884 6138328.20156104, 578663.364304884 6138328.15752904, 578289.527728536 6138208.43868093, 578438.960912675 6137978.64245671))"
