Loading matrix data... DONE [0.325 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 13 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 16 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 17 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 8 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 24 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 4 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 25 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 10 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 1 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 14 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 28 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 27 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 3 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 5 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 0 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 2 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 26 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 20 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 23 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 22 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 6 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 18 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 36 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 35 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 34 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 33 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 19 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 32 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 40 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 41 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 42 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 12 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
